BCPFADAPWV001;1 
BFINATRIUAP011V;1 
BTPATRIURF001;0 
BTPBLOCKAP003V;1 
BTPBLOCKRF001;0 
DMZEATRIUWF103;1 
DMZEATRIUWW003;1 
DMZEBLOCKWF103;1 
DMZEBLOCKWW002;1 
DMZIATRIUWF001;1 
DMZIATRIUWF003;1 
DMZIATRIUWF101;1 
DMZIATRIUWF203;1 
DMZIBLOCKWF001;1 
DMZIBLOCKWF003;1 
DMZIBLOCKWF101;1 
DMZIBLOCKWF203;1 
HCASAIAPWV002;1 
HCASATRIUAP002V;1 
HCASATRIUAP003V;1 
HCASATRIUAP004V;1 
HDIRATRIUAP002;1 
HDIRBLOCKAP002V;1 
HFINBLOCKAP003V;1 
HHRMBLOCKAP002V;1 
HICTAIAPWH001;1 
HICTATRIUDB007;1 
HICTATRIUDB008;1 
HICTATRIUFP004;1 
HICTATRIUWF900V;1 
HICTBIAPWH001;1 
HICTBIAPWV004;1 
HICTBLOCKAP051V;1 
HICTBLOCKDB006;1 
HICTBLOCKDB007;1 
HICTBLOCKDB008;1 
HICTBLOCKFP004;1 
HICTBLOCKTS001V;1 
HICTBLOCKWF900V;1 
HICTBLOCKWW002V;1 
HICTBLOCKWW003V;1 
HPATATRIUWW001V;1 
HSTAADAPWV001;1 
HSTAAIAPWV001;1 
HSTAATRIUAP001V;1 
HSTABLOCKAP001;1 
IBIS-SQL-DV-02;1 
IDIRBLOCKAP005;1 
IICTCIAPWV152;1 
INF01ATRIUAP06;1 
INF01ATRIUAP07;1 
INF01ATRIUAP18;1 
INF01ATRIUAP19;1 
INF01ATRIUAP22;1 
INF01ATRIUDB03;1 
INF01ATRIUDB04;1 
INF01ATRIUDB99;1 
INF01ATRIUWF02;1 
INF01BLOCKWF02;1 
NAT01BLOCKAP03;0 
SYNTATRIUAP003;0 
